date,stock_id,Trading_Volume,Trading_money,open,max,min,close,close-open,近5日均量,近10日均量,近20日均量,5MA,10MA,20MA,5_Devi,10_Devi,20_Devi,法人總買超,買超-外資,買超-外資自營商,買超-投信,買超-自營商(自行買賣),買超-自營商(避險)
2025-07-28,TPEx,820491000,84458449000,232.92,234.16,232.02,233.45,0.5300000000000011,,,,,,,,,,13448827575,4675390630,0,3448784246,1030527146,4294125553
2025-07-29,TPEx,858041000,88716867000,233.39,233.81,230.8,231.16,-2.2299999999999898,,,,,,,,,,-6126539052,-16533219311,0,3837859356,1396835740,5171985163
2025-07-30,TPEx,908105000,86867112000,231.34,232.38,230.36,231.45,0.10999999999998522,,,,,,,,,,20923176409,14112204090,0,1437205201,1316827555,4056939563
2025-07-31,TPEx,1081393000,110193538000,231.56,232.91,231.56,232.0,0.4399999999999977,,,,,,,,,,17805534735,9388571808,0,17825528,2796495944,5602641455
2025-08-01,TPEx,1136282000,106919321000,231.39,234.03,228.4,234.03,2.640000000000015,960862400.0,,,232.41799999999998,,,0.006935779500727239,,,-5860639658,-7033238508,0,800724259,961593581,-589718990
2025-08-04,TPEx,1049052000,89902010000,233.75,233.95,231.78,233.87,0.12000000000000455,1006574600.0,,,232.502,,,0.00588382035423349,,,3756257514,11303634679,0,2305202788,-3734917423,-6117662530
2025-08-05,TPEx,1128122000,105691322000,234.24,237.38,234.24,237.03,2.789999999999992,1060590800.0,,,233.676,,,0.01435320700457049,,,19680053657,11487780180,0,3666838413,-756873802,5282308866
2025-08-06,TPEx,979946000,104183559000,236.97,237.23,236.05,236.05,-0.9199999999999875,1074959000.0,,,234.596,,,0.006197889137069718,,,-11497677168,-10820572461,0,1809040245,-966087319,-1520057633
2025-08-07,TPEx,1153876000,139318442000,236.45,240.12,236.45,239.54,3.0900000000000034,1089455600.0,,,236.10399999999998,,,0.01455290888760888,,,49874740763,43239484056,0,1116606178,441533492,5077117037
2025-08-08,TPEx,1218944000,138994829000,239.59,241.29,239.59,239.79,0.19999999999998863,1105988000.0,1033425200.0,,237.256,234.837,,0.01068044643760323,0.02109122497732471,,-3825548099,-3256238186,0,-1861859628,-164152695,1456702410
2025-08-11,TPEx,1181815000,125030600000,239.81,240.3,238.79,240.2,0.38999999999998636,1132540600.0,1069557600.0,,238.522,235.51200000000003,,0.007034990483058156,0.019905567444546177,,17890746,-3985502559,0,428896562,2291157112,1283339631
2025-08-12,TPEx,1419853000,148191660000,240.32,242.47,240.32,242.36,2.0400000000000205,1190886800.0,1125738800.0,,239.58800000000002,236.63199999999998,,0.011569861595739316,0.024206362622130724,,-5314078018,-5731106152,0,-61610845,34046489,444592490
2025-08-13,TPEx,1675571000,177993728000,242.77,246.09,242.13,243.33,0.5600000000000023,1330011800.0,1202485400.0,,241.044,237.82,,0.00948374570617813,0.023168783113279034,,8411234610,7036580411,0,-1502399863,-46578231,2923632293
2025-08-14,TPEx,1282870000,147721275000,243.65,245.94,243.65,245.53,1.8799999999999955,1355810600.0,1222633100.0,,242.24200000000002,239.173,,0.01357320365584821,0.02657908710431361,,-2621008838,-4460109509,0,-2045083709,1450404712,2433779668
2025-08-15,TPEx,1381077000,166694851000,245.68,246.63,244.35,246.07,0.38999999999998636,1388237200.0,1247112600.0,,243.498,240.377,,0.010562715094169162,0.023683630297407752,,4592053654,5373846115,0,-3356859132,1867986315,707080356
2025-08-18,TPEx,1327504000,160852124000,246.01,248.55,246.01,248.34,2.3300000000000125,1417375000.0,1274957800.0,,245.12600000000003,241.82399999999998,,0.013111624225908185,0.02694521635569679,,6378491052,4638950093,0,1731672993,985643242,-977775276
2025-08-19,TPEx,1240850000,159290245000,248.51,249.93,246.43,246.97,-1.539999999999992,1381574400.0,1286230600.0,,246.048,242.81800000000004,,0.003747236311613982,0.01709922658122527,,-18759116621,-11007665546,0,-1642414216,-1693738617,-4415298242
2025-08-20,TPEx,1110784000,133632245000,246.73,246.73,241.04,241.32,-5.409999999999997,1268617000.0,1299314400.0,,245.64600000000002,243.34499999999997,,-0.01761070809213267,-0.008321518831288819,,-69028137637,-62668571933,0,-2734736666,1915367105,-5540196143
2025-08-21,TPEx,1052598000,118175682000,241.77,246.94,241.77,245.68,3.9099999999999966,1222562600.0,1289186600.0,,245.67600000000002,243.959,,1.6281606668908146e-05,0.007054464069782232,,-6068325600,-10078910548,0,1604056355,1099230232,1307298361
2025-08-22,TPEx,998586000,116223102000,245.59,246.97,244.07,244.14,-1.450000000000017,1146064400.0,1267150800.0,1150288000.0,245.29000000000002,244.394,239.61550000000003,-0.004688328101431098,-0.001039305383929307,0.018882334406580378,-18588523469,-16397993687,0,-1163084639,-573635339,-453809804
2025-08-25,TPEx,861535000,108653543000,244.96,248.55,244.96,247.48,2.519999999999982,1052870600.0,1235122800.0,1152340200.0,245.11800000000002,245.12199999999999,240.317,0.00963617522988914,0.009619699578169256,0.02980646396218321,33080398090,24114791914,0,3231606250,1384604238,4349395688
2025-08-26,TPEx,951858000,118177202000,247.47,250.28,247.4,250.28,2.8100000000000023,995072200.0,1188323300.0,1157031050.0,245.78000000000003,245.91400000000004,241.273,0.01830905688013659,0.017754174223508855,0.03733115599341826,-13609501837,-14508100864,0,-2425226828,335292654,2988533201
2025-08-27,TPEx,1067171000,136743502000,250.67,254.19,250.67,253.83,3.160000000000025,986349600.0,1127483300.0,1164984350.0,248.28199999999998,246.96400000000003,242.39199999999997,0.022345558679243885,0.027801622908602,0.04718802600745919,7469544072,-1947570889,0,-1647591422,2815259360,8249447023
2025-08-28,TPEx,1155237000,151005028000,253.84,255.35,253.35,253.99,0.15000000000000568,1006877400.0,1114720000.0,1168676550.0,249.94400000000002,247.81,243.4915,0.016187626028230293,0.02493846091763854,0.04311649482630813,-13629453740,-9520531049,0,-2760035692,-237115928,-1111771071
2025-08-29,TPEx,1151790000,149250453000,254.52,256.69,254.52,255.0,0.47999999999998977,1037518200.0,1091791300.0,1169451950.0,252.11599999999999,248.70299999999997,244.54000000000002,0.011439178790715444,0.02531935682319886,0.04277418827185728,-8636365019,-8635002338,0,-335109173,443164972,-109418480
2025-09-01,TPEx,1071712000,143854005000,254.99,256.75,250.4,252.37,-2.6200000000000045,1079553600.0,1066212100.0,1170584950.0,253.094,249.10600000000005,245.465,-0.0028605972484531026,0.013102855812384899,0.02813028333978368,-21593857824,-7666900296,0,-3059842787,-2751433877,-8115680864
2025-09-02,TPEx,1232978000,155604767000,252.67,254.79,248.75,251.05,-1.6199999999999761,1135777600.0,1065424900.0,1175827750.0,253.248,249.51399999999998,246.16600000000003,-0.00867923932271915,0.006155967200237381,0.0198402703866496,1096898955,7786239530,0,-6102683470,-1077548032,490890927
2025-09-03,TPEx,1126286000,147612746000,251.27,254.2,251.27,253.85,2.579999999999984,1147600600.0,1066975100.0,1183144750.0,253.252,250.767,247.05599999999998,0.002361284412363909,0.012294281145445765,0.027499838093387782,9982870499,8199762036,0,-637699825,594424275,1826384013
2025-09-04,TPEx,1266940000,149718971000,254.26,256.86,254.18,254.18,-0.07999999999998408,1169941200.0,1088409300.0,1188797950.0,253.29000000000002,251.61700000000002,247.788,0.003513758932448917,0.010186116200415663,0.02579624517732899,11633833868,11808136125,0,-1545453579,-221496133,1592647455
2025-09-05,TPEx,1135087000,147953707000,254.76,258.06,254.76,258.03,3.269999999999982,1166600600.0,1102059400.0,1184605100.0,253.89600000000002,253.006,248.7,0.01628225730220231,0.0198572365872745,0.03751507840772008,33024810722,28281116909,0,-433975608,1990403544,3187265877
2025-09-08,TPEx,1184719000,161470339000,258.68,260.81,258.68,259.78,1.099999999999966,1189202000.0,1134377800.0,1184750300.0,255.378,254.23600000000002,249.679,0.01723719349356635,0.021806510486319618,0.04045594543393706,15996611405,14618525216,0,-1220126071,148022770,2450189490
2025-09-09,TPEx,1201322000,155371622000,260.18,261.29,258.95,259.6,-0.5799999999999841,1182870800.0,1159324200.0,1173823750.0,257.088,255.16799999999998,250.541,0.009770973363206373,0.01736894908452488,0.03615775461900458,38526893843,35653694959,0,-1782067231,-593301300,5248567415
2025-09-10,TPEx,1265206000,165651128000,259.95,261.6,259.95,260.73,0.7800000000000296,1210654800.0,1179127700.0,1153305500.0,258.464,255.858,251.41099999999997,0.008767178407824762,0.01904181225523538,0.03706679500896956,57674044343,48947944283,0,-2727385240,1408535101,10044950199
2025-09-11,TPEx,1288657000,163518032000,260.88,262.26,256.58,256.58,-4.300000000000011,1214998200.0,1192469700.0,1153594850.0,258.944,256.117,251.9635,-0.009129387048937348,0.0018077675437396402,0.018322098240419638,28501291028,32999661731,0,-6271656501,-3293217011,5066502809
2025-09-12,TPEx,1050837000,149946221000,256.91,259.8,256.91,258.09,1.17999999999995,1198148200.0,1182374400.0,1137082850.0,258.956,256.42600000000004,252.5645,-0.0033441974698405993,0.006489201563023758,0.021877579786549438,25670421666,26538500007,0,-5810072034,1220408612,3721585081
2025-09-15,TPEx,1007192000,136597122000,258.11,259.14,254.72,255.82,-2.2900000000000205,1162642800.0,1175922400.0,1121067250.0,258.164,256.771,252.93850000000003,-0.00907949985280672,-0.0037036892795526822,0.011392097288471148,-4703837224,2546248589,0,-8246829092,-276707377,1273450656
2025-09-16,TPEx,1122265000,138268772000,256.11,259.41,256.11,259.33,3.2199999999999704,1146831400.0,1164851100.0,1115138000.0,258.11,257.599,253.5565,0.004726666924954362,0.006719746582867148,0.02277007294232246,23591286670,27003531062,0,-4513790695,-1551866087,2653412390
2025-09-17,TPEx,1101737000,142079977000,259.29,260.75,257.76,257.89,-1.400000000000034,1114137600.0,1162396200.0,1114685650.0,257.54200000000003,258.00300000000004,254.385,0.001351235914918562,-0.0004379794033404897,0.01377832812469287,-11634659183,-5734012058,0,-5314277279,-634644981,48275135
2025-09-18,TPEx,1176002000,156842383000,258.09,262.77,258.09,262.45,4.360000000000014,1091606600.0,1153302400.0,1120855850.0,258.716,258.83,255.2235,0.014432814360147731,0.013986013986014005,0.028314398948372652,17228408262,12153720716,0,-4987795065,3850575418,6211907193
2025-09-19,TPEx,1178949000,165076126000,262.66,264.54,262.66,263.28,0.6199999999999477,1117229000.0,1157688600.0,1129874000.0,259.75399999999996,259.355,256.1805,0.013574381915196729,0.015133697056158371,0.027712882128030737,-12267657124,-15745036443,0,-1937327805,1346021137,4068685987
2025-09-22,TPEx,1082202000,153659988000,263.43,266.05,263.43,266.05,2.6200000000000045,1132231000.0,1147436900.0,1140907350.0,261.8,259.98199999999997,257.10900000000004,0.016233766233766232,0.02334007738997331,0.03477513428156919,-4151157011,-6650808558,0,-5264117265,2908896339,4854872473
2025-09-23,TPEx,1167618000,165385713000,266.47,268.26,265.54,265.54,-0.9300000000000068,1141301600.0,1144066500.0,1151695350.0,263.04200000000003,260.57599999999996,257.872,0.009496582294842612,0.019050104384133827,0.029735682819383283,12274599104,10638719207,0,-1569628564,559066577,2646441884
2025-09-24,TPEx,1091798000,147685556000,265.62,266.31,262.61,264.87,-0.75,1139313800.0,1126725700.0,1152926700.0,264.438,260.99,258.42400000000004,0.0016336532570962433,0.01486646997969269,0.024943503699346687,-14565959202,-12950186461,0,-8566887088,3152965887,3798148460
2025-09-25,TPEx,1089525000,137850528000,264.75,266.82,263.04,263.13,-1.6200000000000045,1122018400.0,1106812500.0,1149641100.0,264.574,261.645,258.881,-0.005457830323463442,0.00567562919222616,0.016412946488927438,5382828825,106720086,0,-1741264243,1588402683,5428970299
2025-09-26,TPEx,1004292000,120973550000,262.94,262.94,255.71,257.03,-5.910000000000025,1087087000.0,1102158000.0,1142266200.0,263.324,261.539,258.98249999999996,-0.023902112986283208,-0.01724025862299701,-0.007539119438572053,-35335558189,-25157852509,0,-5652013477,-139467047,-4386225156
